,latitude,longitude,month,wellDepth
358,28.5,77.2,2022-01,12.0
359,28.5,77.2,2022-05,12.0
360,28.5,77.2,2022-08,12.0
361,28.5,77.0,2022-11,55.79
362,28.5,77.0,2022-12,55.68
363,28.5,77.0,2023-01,33.77
364,28.5,77.0,2023-02,34.59
365,28.5,77.0,2023-03,35.7
366,28.5,77.0,2023-04,36.61
367,28.5,77.0,2023-05,37.63
368,28.5,77.0,2023-06,38.54
369,28.5,77.0,2023-07,39.56
370,28.5,77.0,2023-08,40.52
371,28.5,77.0,2023-09,41.54
372,28.5,77.0,2023-10,42.31
373,28.5,77.0,2023-11,43.36
374,28.5,77.0,2023-12,44.38
375,28.5,77.2,2020-01,20.0
376,28.5,77.2,2020-08,20.0
377,28.5,77.2,2020-11,20.0
378,28.5,77.2,2021-01,20.0
379,28.5,77.2,2021-08,20.0
380,28.5,77.2,2021-11,20.0
381,28.5,77.2,2022-01,20.0
382,28.5,77.2,2022-05,20.0
383,28.5,77.2,2022-08,20.0
384,28.5,77.2,2022-11,20.0
385,28.5,77.2,2020-01,50.0
386,28.5,77.2,2020-08,50.0
387,28.5,77.2,2020-11,50.0
388,28.5,77.2,2021-01,50.0
389,28.5,77.2,2021-08,50.0
390,28.5,77.2,2022-01,50.0
391,28.5,77.2,2022-05,50.0
392,28.5,77.2,2022-08,50.0
393,28.5,77.2,2022-11,50.0
394,28.6,77.0,2020-11,70.0
395,28.6,77.0,2021-01,70.0
396,28.6,77.0,2021-11,70.0
397,28.6,77.0,2022-01,70.0
398,28.6,77.0,2022-05,70.0
399,28.6,77.0,2022-08,70.0
400,28.6,77.0,2022-11,70.0
401,28.6,77.2,2020-01,94.45
402,28.6,77.2,2020-08,94.45
403,28.6,77.2,2020-11,94.45
404,28.6,77.2,2021-01,94.45
405,28.6,77.2,2021-11,94.45
406,28.6,77.2,2022-01,94.45
407,28.6,77.2,2022-05,94.45
408,28.6,77.2,2022-08,94.45
409,28.6,77.2,2022-11,94.45
410,28.6,77.1,2020-01,174.0
411,28.6,77.1,2021-11,174.0
412,28.6,77.1,2022-01,174.0
413,28.6,77.1,2022-11,174.0
414,28.6,76.9,2020-01,50.0
415,28.6,76.9,2021-01,50.0
416,28.6,76.9,2021-08,50.0
417,28.6,76.9,2021-11,50.0
418,28.6,76.9,2022-01,50.0
419,28.6,76.9,2022-05,50.0
420,28.6,76.9,2022-08,50.0
421,28.6,76.9,2022-11,50.0
422,28.6,76.9,2023-09,42.0
423,28.6,76.9,2023-10,42.0
424,28.6,76.9,2023-11,42.0
425,28.6,76.9,2023-12,42.0
426,28.6,77.2,2020-01,60.0
427,28.6,77.2,2020-08,60.0
428,28.6,77.2,2020-11,60.0
429,28.6,77.2,2021-01,60.0
430,28.6,77.2,2021-08,60.0
431,28.6,77.2,2021-11,60.0
432,28.6,77.2,2022-01,60.0
433,28.6,76.8,2020-08,100.0
434,28.6,76.8,2020-11,100.0
435,28.6,76.8,2021-01,100.0
436,28.6,76.8,2021-05,100.0
437,28.6,76.8,2021-08,100.0
438,28.6,76.8,2021-11,100.0
439,28.6,76.8,2022-01,100.0
440,28.6,76.8,2022-05,100.0
441,28.6,76.8,2022-08,100.0
442,28.6,76.8,2022-11,100.0
443,28.6,76.8,2020-01,110.0
444,28.6,76.8,2022-08,110.0
445,28.6,76.8,2022-12,58.33
446,28.6,76.8,2023-01,36.22
447,28.6,76.8,2023-02,37.03
448,28.6,76.8,2023-03,38.14
449,28.6,76.8,2023-04,39.05
450,28.6,76.8,2023-05,40.07
451,28.6,76.8,2023-06,40.99
452,28.6,76.8,2023-07,42.0
453,28.6,76.8,2023-08,42.96
454,28.6,76.8,2023-09,44.01
455,28.6,76.8,2023-10,44.79
456,28.6,76.8,2023-11,45.8
457,28.6,76.8,2023-12,46.79
458,28.6,77.3,2023-05,37.05
459,28.6,77.3,2023-06,37.21
460,28.6,77.3,2023-07,38.22
461,28.6,77.3,2023-08,39.2
462,28.6,77.3,2023-09,40.21
463,28.6,77.3,2023-10,41.02
464,28.6,77.3,2023-11,42.04
465,28.6,77.3,2023-12,43.04
466,28.6,77.0,2020-01,75.0
467,28.6,77.0,2020-08,75.0
468,28.6,77.0,2020-11,75.0
469,28.6,77.0,2021-01,75.0
470,28.6,77.0,2021-08,75.0
471,28.6,77.0,2021-11,75.0
472,28.6,77.0,2022-01,75.0
473,28.6,77.0,2022-05,75.0
474,28.6,77.0,2022-08,75.0
475,28.6,77.0,2022-11,75.0
476,28.6,77.0,2022-12,57.87
477,28.6,77.0,2023-01,35.75
478,28.6,77.0,2023-02,36.57
479,28.6,77.0,2023-03,37.68
480,28.6,77.0,2023-04,38.59
481,28.6,77.0,2023-05,39.6
482,28.6,77.0,2023-06,40.52
483,28.6,77.0,2023-07,41.53
484,28.6,77.0,2023-08,42.5
485,28.6,77.0,2023-09,43.55
486,28.6,77.0,2023-10,44.31
487,28.6,77.0,2023-11,45.34
488,28.6,77.0,2023-12,46.35
489,28.6,77.3,2022-01,45.0
490,28.6,77.3,2022-05,45.0
491,28.6,77.3,2022-08,45.0
492,28.6,77.3,2022-11,45.0
493,28.6,77.3,2020-01,41.0
494,28.6,77.3,2020-08,41.0
495,28.6,77.3,2020-11,41.0
496,28.6,77.3,2021-01,41.0
497,28.6,77.3,2021-08,41.0
498,28.6,77.3,2021-11,41.0
499,28.6,77.3,2022-01,41.0
500,28.6,77.3,2022-05,41.0
501,28.6,77.3,2022-08,41.0
502,28.6,77.3,2022-11,41.0
503,28.6,77.3,2023-05,37.8
504,28.6,77.3,2023-06,37.94
505,28.6,77.3,2023-07,38.96
506,28.6,77.3,2023-08,39.91
507,28.6,77.3,2023-09,40.96
508,28.6,77.3,2023-10,41.77
509,28.6,77.3,2023-11,42.76
510,28.6,77.3,2023-12,43.78
511,28.6,77.1,2022-11,57.02
512,28.6,77.1,2022-12,56.8
513,28.6,77.1,2023-01,34.89
514,28.6,77.1,2023-02,35.71
515,28.6,77.1,2023-03,36.8
516,28.6,77.1,2023-04,37.73
517,28.6,77.1,2023-05,38.74
518,28.6,77.1,2023-06,39.66
519,28.6,77.1,2023-07,40.67
520,28.6,77.1,2023-08,41.64
521,28.6,77.1,2023-09,42.69
522,28.6,77.1,2023-10,43.31
523,28.6,77.1,2023-11,44.21
524,28.6,77.1,2023-12,45.31
525,28.6,77.1,2020-01,80.0
526,28.6,77.1,2020-08,80.0
527,28.6,77.1,2020-11,80.0
528,28.6,77.1,2021-01,80.0
529,28.6,77.1,2021-08,80.0
530,28.6,77.1,2021-11,80.0
531,28.6,77.1,2022-01,80.0
532,28.6,77.1,2022-05,80.0
533,28.6,77.1,2022-08,80.0
534,28.6,77.1,2022-11,80.0
535,28.6,77.3,2020-01,55.0
536,28.6,77.3,2020-08,55.0
537,28.6,77.3,2020-11,55.0
538,28.6,77.3,2021-01,55.0
539,28.6,77.3,2021-08,55.0
540,28.6,77.3,2021-11,55.0
541,28.6,77.3,2022-01,55.0
542,28.6,77.3,2022-05,55.0
543,28.6,77.3,2022-08,55.0
544,28.6,77.3,2022-11,55.0
545,28.6,77.3,2023-05,38.73
546,28.6,77.3,2023-06,38.87
547,28.6,77.3,2023-07,39.88
548,28.6,77.3,2023-08,40.83
549,28.6,77.3,2023-09,43.55
550,28.6,77.3,2023-10,43.92
551,28.6,77.3,2023-11,44.36
552,28.6,77.3,2023-12,44.85
553,28.6,77.0,2020-01,100.0
554,28.6,77.0,2020-08,100.0
555,28.6,77.0,2020-11,100.0
556,28.6,77.0,2021-01,100.0
557,28.6,77.0,2021-08,100.0
558,28.6,77.0,2021-11,100.0
559,28.6,77.0,2022-01,100.0
560,28.6,77.0,2022-05,100.0
561,28.6,77.0,2022-08,100.0
562,28.6,77.0,2022-11,100.0
563,28.6,77.0,2023-09,10.05
564,28.6,77.0,2023-10,10.05
565,28.6,77.0,2023-11,10.05
566,28.6,77.1,2020-08,50.0
567,28.6,77.1,2020-11,50.0
568,28.6,77.1,2021-01,50.0
569,28.6,77.0,2020-01,80.0
570,28.6,77.0,2020-08,80.0
571,28.6,77.0,2020-11,80.0
572,28.6,77.0,2021-01,80.0
573,28.6,77.0,2021-08,80.0
574,28.6,77.0,2022-01,80.0
575,28.6,77.0,2022-05,80.0
576,28.6,77.0,2022-08,80.0
577,28.6,77.0,2022-11,80.0
578,28.6,77.0,2022-11,58.55
579,28.6,77.0,2022-12,58.33
580,28.6,77.0,2023-01,36.42
581,28.6,77.0,2023-02,37.24
582,28.6,77.0,2023-03,38.35
583,28.6,77.0,2023-04,39.26
584,28.6,77.0,2023-05,40.28
585,28.6,77.0,2023-06,41.19
586,28.6,77.0,2023-07,42.2
587,28.6,77.0,2023-08,43.17
588,28.6,77.0,2023-09,44.08
589,28.6,77.0,2023-10,45.1
590,28.6,77.0,2023-11,46.01
591,28.6,77.0,2023-12,47.02
592,28.6,76.9,2020-01,100.0
593,28.6,77.1,2020-01,80.0
594,28.6,77.1,2020-08,80.0
595,28.6,77.1,2020-11,80.0
596,28.6,77.1,2021-01,80.0
597,28.6,77.1,2021-11,80.0
598,28.6,77.1,2022-01,80.0
599,28.6,77.1,2022-08,80.0
600,28.6,77.1,2023-09,48.0
601,28.6,77.1,2023-10,48.0
602,28.6,77.1,2023-11,48.0
603,28.6,77.1,2023-12,48.0
604,28.6,77.2,2020-01,75.2
605,28.6,77.2,2020-05,75.2
606,28.6,77.2,2020-08,75.2
607,28.6,77.2,2020-11,75.2
608,28.6,77.2,2021-01,75.2
609,28.6,77.2,2021-05,75.2
610,28.6,77.2,2021-08,75.2
611,28.6,77.2,2021-11,75.2
612,28.6,77.2,2022-01,75.2
613,28.6,77.2,2022-05,75.2
614,28.6,77.2,2022-08,75.2
615,28.6,77.2,2022-11,75.2
616,28.6,77.2,2023-05,35.3
617,28.6,77.2,2023-06,35.82
