latitude,longitude,number_x,tp_mm,month,dataValue,wellDepth,number_y,tmean_C
28.5,77.2,0,0.0,2022-11,44.7,150.0,0,19.966936
28.5,77.2,0,0.0,2022-11,39.04,94.5,0,19.966936
28.5,77.2,0,0.0,2022-11,23.95,104.0,0,19.966936
28.5,77.3,0,0.0,2022-11,8.0,75.0,0,19.914347
28.5,77.3,0,0.0,2022-11,9.64,45.0,0,19.914347
28.4,77.1,0,0.0,2022-11,51.69,65.0,0,19.982546
28.4,77.1,0,0.0,2022-11,10.07,100.0,0,19.982546
28.4,77.1,0,0.0,2022-11,66.75,82.0,0,19.982546
28.4,77.1,0,0.0,2022-11,64.74,90.0,0,19.982546
28.4,77.2,0,0.0,2022-11,16.0,35.0,0,20.047207
28.4,77.2,0,0.0,2022-11,39.17,86.5,0,20.047207
28.5,76.9,0,0.0,2022-12,-10.74,,0,15.112218
28.5,77.0,0,0.0,2022-12,-8.03,,0,15.06915
28.5,77.0,0,0.0,2022-12,-14.28,,0,15.06915
28.5,77.0,0,0.0,2022-12,-15.37,,0,15.06915
28.4,77.1,0,0.0,2022-12,-66.86,,0,15.110593
28.5,76.9,0,0.0,2023-01,-10.72,,0,12.583719
28.5,77.0,0,0.0,2023-01,-8.3,,0,12.58034
28.5,77.0,0,0.0,2023-01,-14.86,,0,12.58034
28.5,77.0,0,0.0,2023-01,-15.14,,0,12.58034
28.4,77.1,0,0.0,2023-01,-66.83,,0,12.616508
28.5,76.9,0,0.0,2023-02,-10.69,,0,18.8678
28.5,77.0,0,0.0,2023-02,-8.63,,0,18.78801
28.5,77.0,0,0.0,2023-02,-15.12,,0,18.78801
28.5,77.0,0,0.0,2023-02,-14.94,,0,18.78801
28.4,77.1,0,0.0,2023-02,-66.77,,0,18.838139
28.5,76.9,0,0.0,2023-03,-10.69,,0,22.40761
28.5,77.0,0,0.0,2023-03,-8.93,,0,22.276209
28.5,77.0,0,0.0,2023-03,-15.84,,0,22.276209
28.5,77.0,0,0.0,2023-03,-14.78,,0,22.276209
28.4,77.1,0,0.0,2023-03,-66.89,,0,22.272406
28.8,77.0,0,0.0,2023-04,-19.83,,0,26.465183
28.8,77.2,0,0.0,2023-04,-9.77,,0,26.384958
28.5,76.9,0,0.0,2023-04,-10.64,,0,26.981106
28.5,77.0,0,0.0,2023-04,-9.11,,0,26.841461
28.5,77.0,0,0.0,2023-04,-17.26,,0,26.841461
28.5,77.0,0,0.0,2023-04,-14.64,,0,26.841461
28.5,77.2,0,0.0,2023-04,-23.33,,0,26.766642
28.4,77.1,0,0.0,2023-04,-66.94,,0,26.80434
28.8,76.9,0,0.0,2023-05,-4.61,,0,29.26264
28.8,77.0,0,0.0,2023-05,-3.15,,0,29.203028
28.8,77.0,0,0.0,2023-05,-7.52,,0,29.203028
28.8,77.0,0,0.0,2023-05,-19.72,,0,29.203028
28.8,77.1,0,0.0,2023-05,-9.13,,0,29.090124
28.8,77.1,0,0.0,2023-05,-7.75,,0,29.090124
28.8,77.1,0,0.0,2023-05,-21.15,,0,29.090124
28.8,77.2,0,0.0,2023-05,-9.9,,0,28.95148
28.5,76.9,0,0.0,2023-05,-10.63,,0,29.610682
28.5,77.0,0,0.0,2023-05,-9.36,,0,29.46404
28.5,77.0,0,0.0,2023-05,-18.15,,0,29.46404
28.5,77.0,0,0.0,2023-05,-14.53,,0,29.46404
28.5,77.2,0,0.0,2023-05,-38.37,,0,29.30108
28.5,77.2,0,0.0,2023-05,-23.29,,0,29.30108
28.5,77.3,0,0.0,2023-05,-9.78,,0,29.284945
28.4,77.1,0,0.0,2023-05,-67.09,,0,29.379246
28.4,77.2,0,0.0,2023-05,-47.08,,0,29.465958
28.8,76.9,0,0.0,2023-06,-4.6,,0,31.443874
28.8,77.0,0,0.0,2023-06,-2.94,,0,31.34639
28.8,77.0,0,0.0,2023-06,-7.58,,0,31.34639
28.8,77.0,0,0.0,2023-06,-20.12,,0,31.34639
28.8,77.1,0,0.0,2023-06,-9.04,,0,31.233334
28.8,77.1,0,0.0,2023-06,-7.83,,0,31.233334
28.8,77.1,0,0.0,2023-06,-21.65,,0,31.233334
28.8,77.2,0,0.0,2023-06,-10.47,,0,31.13751
28.5,76.9,0,0.0,2023-06,-10.61,,0,31.602312
28.5,77.0,0,0.0,2023-06,-9.4,,0,31.48476
28.5,77.0,0,0.0,2023-06,-19.04,,0,31.48476
28.5,77.0,0,0.0,2023-06,-14.41,,0,31.48476
