latitude,longitude,soil_type,month
28.8,76.9,2.0,2022-08
28.8,77.2,2.0,2022-08
28.8,77.4,2.0,2022-08
28.5,76.7,3.0,2022-08
28.5,76.9,3.0,2022-08
28.5,77.2,2.0,2022-08
28.5,77.4,2.0,2022-08
28.3,76.7,3.0,2022-08
28.3,76.9,3.0,2022-08
28.3,77.2,2.0,2022-08
28.3,77.4,2.0,2022-08
28.8,76.7,2.0,2022-09
28.8,76.9,2.0,2022-09
28.8,77.2,2.0,2022-09
28.8,77.4,2.0,2022-09
28.5,76.7,3.0,2022-09
28.5,76.9,3.0,2022-09
28.5,77.2,2.0,2022-09
28.5,77.4,2.0,2022-09
28.3,76.7,3.0,2022-09
28.3,76.9,3.0,2022-09
28.3,77.2,2.0,2022-09
28.3,77.4,2.0,2022-09
28.8,76.7,2.0,2022-10
28.8,76.9,2.0,2022-10
28.8,77.2,2.0,2022-10
28.8,77.4,2.0,2022-10
28.5,76.7,3.0,2022-10
28.5,76.9,3.0,2022-10
28.5,77.2,2.0,2022-10
28.5,77.4,2.0,2022-10
28.3,76.7,3.0,2022-10
28.3,76.9,3.0,2022-10
28.3,77.2,2.0,2022-10
28.3,77.4,2.0,2022-10
28.8,76.7,2.0,2022-11
28.8,76.9,2.0,2022-11
28.8,77.2,2.0,2022-11
28.8,77.4,2.0,2022-11
28.5,76.7,3.0,2022-11
28.5,76.9,3.0,2022-11
28.5,77.2,2.0,2022-11
28.5,77.4,2.0,2022-11
28.3,76.7,3.0,2022-11
28.3,76.9,3.0,2022-11
28.3,77.2,2.0,2022-11
28.3,77.4,2.0,2022-11
28.8,76.7,2.0,2022-12
28.8,76.9,2.0,2022-12
28.8,77.2,2.0,2022-12
28.8,77.4,2.0,2022-12
28.5,76.7,3.0,2022-12
28.5,76.9,3.0,2022-12
28.5,77.2,2.0,2022-12
28.5,77.4,2.0,2022-12
28.3,76.7,3.0,2022-12
28.3,76.9,3.0,2022-12
28.3,77.2,2.0,2022-12
28.3,77.4,2.0,2022-12
28.8,76.7,2.0,2023-01
28.8,76.9,2.0,2023-01
28.8,77.2,2.0,2023-01
28.8,77.4,2.0,2023-01
28.5,76.7,3.0,2023-01
28.5,76.9,3.0,2023-01
28.5,77.2,2.0,2023-01
28.5,77.4,2.0,2023-01
28.3,76.7,3.0,2023-01
28.3,76.9,3.0,2023-01
28.3,77.2,2.0,2023-01
28.3,77.4,2.0,2023-01
28.8,76.7,2.0,2023-02
28.8,76.9,2.0,2023-02
28.8,77.2,2.0,2023-02
28.8,77.4,2.0,2023-02
28.5,76.7,3.0,2023-02
28.5,76.9,3.0,2023-02
28.5,77.2,2.0,2023-02
28.5,77.4,2.0,2023-02
28.3,76.7,3.0,2023-02
28.3,76.9,3.0,2023-02
28.3,77.2,2.0,2023-02
28.3,77.4,2.0,2023-02
28.8,76.7,2.0,2023-03
28.8,76.9,2.0,2023-03
28.8,77.2,2.0,2023-03
28.8,77.4,2.0,2023-03
28.5,76.7,3.0,2023-03
28.5,76.9,3.0,2023-03
28.5,77.2,2.0,2023-03
28.5,77.4,2.0,2023-03
28.3,76.7,3.0,2023-03
28.3,76.9,3.0,2023-03
28.3,77.2,2.0,2023-03
28.3,77.4,2.0,2023-03
28.8,76.7,2.0,2023-04
28.8,76.9,2.0,2023-04
28.8,77.2,2.0,2023-04
28.8,77.4,2.0,2023-04
28.5,76.7,3.0,2023-04
28.5,76.9,3.0,2023-04
28.5,77.2,2.0,2023-04
28.5,77.4,2.0,2023-04
28.3,76.7,3.0,2023-04
28.3,76.9,3.0,2023-04
28.3,77.2,2.0,2023-04
28.3,77.4,2.0,2023-04
28.8,76.7,2.0,2023-05
28.8,76.9,2.0,2023-05
28.8,77.2,2.0,2023-05
28.8,77.4,2.0,2023-05
28.5,76.7,3.0,2023-05
28.5,76.9,3.0,2023-05
28.5,77.2,2.0,2023-05
28.5,77.4,2.0,2023-05
28.3,76.7,3.0,2023-05
28.3,76.9,3.0,2023-05
28.3,77.2,2.0,2023-05
28.3,77.4,2.0,2023-05
28.8,76.7,2.0,2023-06
28.8,76.9,2.0,2023-06
28.8,77.2,2.0,2023-06
28.8,77.4,2.0,2023-06
28.5,76.7,3.0,2023-06
28.5,76.9,3.0,2023-06
28.5,77.2,2.0,2023-06
28.5,77.4,2.0,2023-06
28.3,76.7,3.0,2023-06
28.3,76.9,3.0,2023-06
28.3,77.2,2.0,2023-06
28.3,77.4,2.0,2023-06
28.8,76.7,2.0,2023-07
28.8,76.9,2.0,2023-07
28.8,77.2,2.0,2023-07
28.8,77.4,2.0,2023-07
28.5,76.7,3.0,2023-07
28.5,76.9,3.0,2023-07
28.5,77.2,2.0,2023-07
28.5,77.4,2.0,2023-07
28.3,76.7,3.0,2023-07
28.3,76.9,3.0,2023-07
28.3,77.2,2.0,2023-07
28.3,77.4,2.0,2023-07
28.8,76.7,2.0,2023-08
28.8,76.9,2.0,2023-08
28.8,77.2,2.0,2023-08
28.8,77.4,2.0,2023-08
28.5,76.7,3.0,2023-08
28.5,76.9,3.0,2023-08
28.5,77.2,2.0,2023-08
28.5,77.4,2.0,2023-08
28.3,76.7,3.0,2023-08
28.3,76.9,3.0,2023-08
28.3,77.2,2.0,2023-08
28.3,77.4,2.0,2023-08
28.8,76.7,2.0,2023-09
28.8,76.9,2.0,2023-09
28.8,77.2,2.0,2023-09
28.8,77.4,2.0,2023-09
28.5,76.7,3.0,2023-09
28.5,76.9,3.0,2023-09
28.5,77.2,2.0,2023-09
28.5,77.4,2.0,2023-09
28.3,76.7,3.0,2023-09
28.3,76.9,3.0,2023-09
28.3,77.2,2.0,2023-09
28.3,77.4,2.0,2023-09
28.8,76.7,2.0,2023-10
28.8,76.9,2.0,2023-10
28.8,77.2,2.0,2023-10
28.8,77.4,2.0,2023-10
28.5,76.7,3.0,2023-10
28.5,76.9,3.0,2023-10
28.5,77.2,2.0,2023-10
28.5,77.4,2.0,2023-10
28.3,76.7,3.0,2023-10
28.3,76.9,3.0,2023-10
28.3,77.2,2.0,2023-10
28.3,77.4,2.0,2023-10
28.8,76.7,2.0,2023-11
28.8,76.9,2.0,2023-11
28.8,77.2,2.0,2023-11
28.8,77.4,2.0,2023-11
28.5,76.7,3.0,2023-11
28.5,76.9,3.0,2023-11
