latitude,longitude,number,tp_mm,month,dataValue,wellDepth
28.5,77.1,0,0.0,2022-05,31.79,43.0
28.5,77.2,0,0.0,2022-05,49.48,150.0
28.5,77.2,0,0.0,2022-05,39.53,94.5
28.5,77.2,0,0.0,2022-05,24.7,104.0
28.5,77.2,0,0.0,2022-05,3.7,12.0
28.5,77.3,0,0.0,2022-05,9.32,75.0
28.5,77.3,0,0.0,2022-05,22.34,75.0
28.5,77.3,0,0.0,2022-05,10.3,45.0
28.4,77.1,0,0.0,2022-05,53.34,65.0
28.4,77.1,0,0.0,2022-05,41.37,100.0
28.4,77.1,0,0.0,2022-05,66.01,82.0
28.4,77.1,0,0.0,2022-05,64.37,90.0
28.4,77.2,0,0.0,2022-05,23.08,35.0
28.4,77.2,0,0.0,2022-05,10.95,100.0
28.4,77.2,0,0.0,2022-05,48.64,86.5
28.8,77.0,0,0.0,2022-08,1.58,100.0
28.8,77.0,0,0.0,2022-08,2.57,8.6
28.8,77.0,0,0.0,2022-08,1.64,50.0
28.8,77.0,0,0.0,2022-08,20.33,47.0
28.8,77.1,0,0.0,2022-08,9.75,80.0
28.8,77.1,0,0.0,2022-08,19.07,45.0
28.8,77.2,0,0.0,2022-08,9.05,200.0
28.8,77.2,0,0.0,2022-08,7.32,65.0
28.8,77.2,0,0.0,2022-08,8.18,85.0
28.8,77.2,0,0.0,2022-08,10.46,101.0
28.7,76.9,0,0.0,2022-08,5.1,32.0
28.7,76.9,0,0.0,2022-08,11.31,21.2
28.7,77.0,0,0.0,2022-08,0.43,10.0
28.7,77.0,0,0.0,2022-08,0.83,27.0
28.7,77.0,0,0.0,2022-08,2.45,54.0
28.7,77.0,0,0.0,2022-08,4.94,250.75
28.7,77.0,0,0.0,2022-08,9.08,15.9
28.7,77.1,0,0.0,2022-08,22.56,100.0
28.7,77.1,0,0.0,2022-08,4.72,80.0
28.7,77.1,0,0.0,2022-08,5.25,75.0
28.7,77.1,0,0.0,2022-08,12.73,100.0
28.7,77.2,0,0.0,2022-08,12.87,70.0
28.7,77.2,0,0.0,2022-08,1.39,50.0
28.7,77.2,0,0.0,2022-08,3.24,50.0
28.7,77.2,0,0.0,2022-08,6.6,45.0
28.5,76.9,0,0.0,2022-08,0.79,28.0
28.5,76.9,0,0.0,2022-08,7.36,100.0
