Unnamed: 0,latitude,longitude,tp_mm,month,dataValue,wellDepth,tmean_C,d2m_C,evap_mm,pressure_hPa
103,28.4,77.2,0.0,2020-11,49.25,86.5,19.13992,9.37,-0.5826235,990.0029
104,28.8,77.0,0.0,2021-01,1.96,100.0,13.433441,9.04,-0.74569595,990.87054
105,28.8,77.0,0.0,2021-01,1.92,50.0,13.433441,9.04,-0.74569595,990.87054
106,28.8,77.0,0.0,2021-01,23.54,47.0,13.433441,9.04,-0.74569595,990.87054
107,28.8,77.1,0.0,2021-01,11.42,80.0,13.440136,9.1,-0.76783514,990.7909
108,28.8,77.2,0.0,2021-01,8.97,200.0,13.467385,9.13,-0.73733085,990.46674
109,28.8,77.2,0.0,2021-01,7.59,65.0,13.467385,9.13,-0.73733085,990.46674
110,28.8,77.2,0.0,2021-01,8.05,85.0,13.467385,9.13,-0.73733085,990.46674
111,28.8,77.2,0.0,2021-01,11.52,101.0,13.467385,9.13,-0.73733085,990.46674
112,28.5,76.9,0.0,2021-01,1.37,28.0,13.713296,8.75,-0.7089955,991.5438
113,28.5,76.9,0.0,2021-01,8.56,100.0,13.713296,8.75,-0.7089955,991.5438
114,28.5,76.9,0.0,2021-01,8.46,40.0,13.713296,8.75,-0.7089955,991.5438
115,28.5,76.9,0.0,2021-01,3.38,80.0,13.713296,8.75,-0.7089955,991.5438
116,28.5,76.9,0.0,2021-01,1.53,15.0,13.713296,8.75,-0.7089955,991.5438
117,28.5,76.9,0.0,2021-01,13.68,100.0,13.713296,8.75,-0.7089955,991.5438
118,28.5,77.0,0.0,2021-01,11.91,75.0,13.698771,8.79,-0.7211724,990.08545
119,28.5,77.0,0.0,2021-01,17.43,105.0,13.698771,8.79,-0.7211724,990.08545
120,28.5,77.0,0.0,2021-01,20.97,125.0,13.698771,8.79,-0.7211724,990.08545
121,28.5,77.1,0.0,2021-01,16.19,55.0,13.740078,8.82,-0.7231884,988.9449
122,28.5,77.1,0.0,2021-01,16.95,100.0,13.740078,8.82,-0.7231884,988.9449
123,28.5,77.1,0.0,2021-01,3.85,20.0,13.740078,8.82,-0.7231884,988.9449
124,28.5,77.1,0.0,2021-01,47.6,65.0,13.740078,8.82,-0.7231884,988.9449
125,28.5,77.1,0.0,2021-01,15.68,100.0,13.740078,8.82,-0.7231884,988.9449
126,28.5,77.1,0.0,2021-01,31.91,43.0,13.740078,8.82,-0.7231884,988.9449
127,28.5,77.2,0.0,2021-01,44.82,94.5,13.763745,8.88,-0.73371303,990.046
128,28.5,77.2,0.0,2021-01,28.89,104.0,13.763745,8.88,-0.73371303,990.046
129,28.5,77.2,0.0,2021-01,3.92,12.0,13.763745,8.88,-0.73371303,990.046
130,28.5,77.3,0.0,2021-01,8.2,75.0,13.756496,8.99,-0.66019785,991.4758
131,28.5,77.3,0.0,2021-01,10.45,45.0,13.756496,8.99,-0.66019785,991.4758
132,28.4,77.1,0.0,2021-01,54.0,65.0,13.806959,8.63,-0.66125774,986.8163
133,28.4,77.1,0.0,2021-01,41.99,100.0,13.806959,8.63,-0.66125774,986.8163
134,28.4,77.1,0.0,2021-01,65.47,82.0,13.806959,8.63,-0.66125774,986.8163
135,28.4,77.1,0.0,2021-01,63.88,90.0,13.806959,8.63,-0.66125774,986.8163
136,28.4,77.2,0.0,2021-01,21.83,35.0,13.863176,8.79,-0.6416491,989.26044
137,28.4,77.2,0.0,2021-01,50.78,86.5,13.863176,8.79,-0.6416491,989.26044
138,28.8,77.0,0.0,2021-08,0.66,100.0,29.342041,24.32,-2.9637399,977.43726
139,28.8,77.0,0.0,2021-08,1.78,8.6,29.342041,24.32,-2.9637399,977.43726
140,28.8,77.0,0.0,2021-08,5.24,50.0,29.342041,24.32,-2.9637399,977.43726
141,28.8,77.0,0.0,2021-08,23.8,25.0,29.342041,24.32,-2.9637399,977.43726
142,28.8,77.1,0.0,2021-08,10.68,80.0,29.230164,24.4,-2.9869158,977.39355
143,28.8,77.1,0.0,2021-08,21.78,45.0,29.230164,24.4,-2.9869158,977.39355
144,28.8,77.2,0.0,2021-08,7.58,65.0,29.110924,24.45,-3.0008483,977.1286
145,28.8,77.2,0.0,2021-08,7.72,85.0,29.110924,24.45,-3.0008483,977.1286
146,28.8,77.2,0.0,2021-08,11.7,101.0,29.110924,24.45,-3.0008483,977.1286
147,28.5,76.9,0.0,2021-08,0.82,80.0,29.58995,24.03,-2.6948218,978.0642
148,28.5,76.9,0.0,2021-08,0.6,28.0,29.58995,24.03,-2.6948218,978.0642
149,28.5,76.9,0.0,2021-08,8.1,100.0,29.58995,24.03,-2.6948218,978.0642
150,28.5,76.9,0.0,2021-08,7.93,40.0,29.58995,24.03,-2.6948218,978.0642
151,28.5,76.9,0.0,2021-08,0.9,15.0,29.58995,24.03,-2.6948218,978.0642
152,28.5,76.9,0.0,2021-08,12.36,100.0,29.58995,24.03,-2.6948218,978.0642
153,28.5,77.0,0.0,2021-08,20.34,125.0,29.349886,24.15,-2.817122,976.7435
154,28.5,77.1,0.0,2021-08,15.2,55.0,29.180279,24.2,-2.922289,975.7168
155,28.5,77.1,0.0,2021-08,12.83,100.0,29.180279,24.2,-2.922289,975.7168
156,28.5,77.1,0.0,2021-08,44.86,65.0,29.180279,24.2,-2.922289,975.7168
157,28.5,77.1,0.0,2021-08,9.18,100.0,29.180279,24.2,-2.922289,975.7168
158,28.5,77.1,0.0,2021-08,33.05,43.0,29.180279,24.2,-2.922289,975.7168
159,28.5,77.2,0.0,2021-08,51.7,150.0,29.137745,24.3,-3.0162032,976.7717
160,28.5,77.2,0.0,2021-08,43.05,94.5,29.137745,24.3,-3.0162032,976.7717
161,28.5,77.2,0.0,2021-08,27.68,104.0,29.137745,24.3,-3.0162032,976.7717
162,28.5,77.2,0.0,2021-08,2.63,12.0,29.137745,24.3,-3.0162032,976.7717
163,28.5,77.3,0.0,2021-08,8.57,75.0,29.100613,24.42,-2.9357128,978.1308
164,28.5,77.3,0.0,2021-08,10.79,45.0,29.100613,24.42,-2.9357128,978.1308
165,28.4,77.1,0.0,2021-08,53.6,65.0,29.053745,24.03,-2.9928205,973.74915
166,28.4,77.1,0.0,2021-08,40.76,100.0,29.053745,24.03,-2.9928205,973.74915
167,28.4,77.1,0.0,2021-08,65.48,82.0,29.053745,24.03,-2.9928205,973.74915
168,28.4,77.1,0.0,2021-08,63.61,90.0,29.053745,24.03,-2.9928205,973.74915
169,28.4,77.2,0.0,2021-08,11.45,35.0,29.094181,24.21,-2.9846184,976.053
170,28.4,77.2,0.0,2021-08,54.61,86.5,29.094181,24.21,-2.9846184,976.053
171,28.8,77.0,0.0,2021-11,0.94,100.0,18.924595,11.67,-1.2809564,989.2582
172,28.8,77.0,0.0,2021-11,1.3,8.6,18.924595,11.67,-1.2809564,989.2582
173,28.8,77.0,0.0,2021-11,2.13,50.0,18.924595,11.67,-1.2809564,989.2582
174,28.8,77.0,0.0,2021-11,19.78,47.0,18.924595,11.67,-1.2809564,989.2582
175,28.8,77.1,0.0,2021-11,8.3,80.0,18.800451,11.84,-1.3438469,989.1927
176,28.8,77.2,0.0,2021-11,7.2,85.0,18.71657,11.92,-1.356802,988.8856
177,28.8,77.2,0.0,2021-11,9.8,101.0,18.71657,11.92,-1.356802,988.8856
178,28.5,76.9,0.0,2021-11,0.85,80.0,19.487726,11.31,-1.222697,989.8988
179,28.5,76.9,0.0,2021-11,0.88,28.0,19.487726,11.31,-1.222697,989.8988
180,28.5,76.9,0.0,2021-11,2.4,15.0,19.487726,11.31,-1.222697,989.8988
181,28.5,76.9,0.0,2021-11,11.31,100.0,19.487726,11.31,-1.222697,989.8988
182,28.5,77.0,0.0,2021-11,13.3,105.0,19.295254,11.5,-1.2099564,988.4895
183,28.5,77.0,0.0,2021-11,19.39,125.0,19.295254,11.5,-1.2099564,988.4895
184,28.5,77.1,0.0,2021-11,13.6,55.0,19.162169,11.63,-1.2801887,987.38873
185,28.5,77.1,0.0,2021-11,7.94,100.0,19.162169,11.63,-1.2801887,987.38873
