,latitude,longitude,d2m_C,month
520,28.9,77.3,25.35,2020-08
521,28.9,77.5,25.35,2020-08
522,28.8,76.7,25.06,2020-08
523,28.8,76.8,25.15,2020-08
524,28.8,76.8,25.21,2020-08
525,28.8,76.9,25.26,2020-08
526,28.8,77.0,25.29,2020-08
527,28.8,77.1,25.31,2020-08
528,28.8,77.2,25.32,2020-08
529,28.8,77.3,25.33,2020-08
530,28.8,77.5,25.33,2020-08
531,28.7,76.7,25.01,2020-08
532,28.7,76.8,25.07,2020-08
533,28.7,76.8,25.16,2020-08
534,28.7,76.9,25.25,2020-08
535,28.7,77.0,25.34,2020-08
536,28.7,77.1,25.37,2020-08
537,28.7,77.2,25.3,2020-08
538,28.7,77.3,25.34,2020-08
539,28.7,77.5,25.35,2020-08
540,28.5,76.7,24.97,2020-08
541,28.5,76.8,25.03,2020-08
542,28.5,76.8,25.13,2020-08
543,28.5,76.9,25.2,2020-08
544,28.5,77.0,25.23,2020-08
545,28.5,77.1,25.2,2020-08
546,28.5,77.2,25.26,2020-08
547,28.5,77.3,25.35,2020-08
548,28.5,77.5,25.35,2020-08
549,28.4,76.7,24.92,2020-08
550,28.4,76.8,25.0,2020-08
551,28.4,76.8,25.07,2020-08
552,28.4,76.9,25.09,2020-08
553,28.4,77.0,25.04,2020-08
554,28.4,77.1,25.06,2020-08
555,28.4,77.2,25.2,2020-08
556,28.4,77.3,25.34,2020-08
557,28.4,77.5,25.35,2020-08
558,28.3,76.7,24.89,2020-08
559,28.3,76.8,24.95,2020-08
560,28.3,76.8,24.97,2020-08
561,28.3,76.9,24.99,2020-08
562,28.3,77.0,25.02,2020-08
563,28.3,77.1,25.09,2020-08
564,28.3,77.2,25.21,2020-08
565,28.3,77.3,25.33,2020-08
566,28.3,77.5,25.37,2020-08
567,28.3,76.7,24.85,2020-08
568,28.3,76.8,24.84,2020-08
569,28.3,76.8,24.82,2020-08
570,28.3,76.9,24.93,2020-08
571,28.3,77.0,25.1,2020-08
572,28.3,77.1,25.21,2020-08
573,28.3,77.2,25.26,2020-08
574,28.3,77.3,25.3,2020-08
575,28.3,77.5,25.32,2020-08
576,29.0,76.7,22.21,2020-09
577,29.0,76.8,22.49,2020-09
578,29.0,76.8,22.71,2020-09
579,29.0,76.9,22.86,2020-09
580,29.0,77.0,23.04,2020-09
581,29.0,77.1,23.16,2020-09
582,29.0,77.2,23.24,2020-09
583,29.0,77.3,23.38,2020-09
584,29.0,77.5,23.48,2020-09
585,28.9,76.7,21.88,2020-09
586,28.9,76.8,22.24,2020-09
587,28.9,76.8,22.46,2020-09
588,28.9,76.9,22.63,2020-09
589,28.9,77.0,22.87,2020-09
590,28.9,77.1,23.08,2020-09
591,28.9,77.2,23.19,2020-09
592,28.9,77.3,23.31,2020-09
593,28.9,77.5,23.4,2020-09
594,28.8,76.7,21.51,2020-09
595,28.8,76.8,21.94,2020-09
596,28.8,76.8,22.24,2020-09
597,28.8,76.9,22.48,2020-09
598,28.8,77.0,22.71,2020-09
599,28.8,77.1,22.92,2020-09
600,28.8,77.2,23.09,2020-09
601,28.8,77.3,23.24,2020-09
602,28.8,77.5,23.34,2020-09
603,28.7,76.7,21.53,2020-09
604,28.7,76.8,21.84,2020-09
605,28.7,76.8,22.14,2020-09
606,28.7,76.9,22.45,2020-09
607,28.7,77.0,22.75,2020-09
608,28.7,77.1,22.96,2020-09
609,28.7,77.2,23.05,2020-09
610,28.7,77.3,23.24,2020-09
611,28.7,77.5,23.39,2020-09
612,28.5,76.7,21.52,2020-09
613,28.5,76.8,21.76,2020-09
614,28.5,76.8,22.06,2020-09
615,28.5,76.9,22.36,2020-09
616,28.5,77.0,22.59,2020-09
617,28.5,77.1,22.74,2020-09
618,28.5,77.2,23.0,2020-09
619,28.5,77.3,23.26,2020-09
620,28.5,77.5,23.4,2020-09
621,28.4,76.7,21.37,2020-09
622,28.4,76.8,21.65,2020-09
623,28.4,76.8,21.92,2020-09
624,28.4,76.9,22.16,2020-09
625,28.4,77.0,22.32,2020-09
626,28.4,77.1,22.52,2020-09
627,28.4,77.2,22.88,2020-09
628,28.4,77.3,23.23,2020-09
629,28.4,77.5,23.39,2020-09
630,28.3,76.7,21.2,2020-09
631,28.3,76.8,21.44,2020-09
632,28.3,76.8,21.66,2020-09
633,28.3,76.9,21.91,2020-09
634,28.3,77.0,22.14,2020-09
635,28.3,77.1,22.41,2020-09
636,28.3,77.2,22.74,2020-09
637,28.3,77.3,23.07,2020-09
638,28.3,77.5,23.26,2020-09
639,28.3,76.7,21.13,2020-09
640,28.3,76.8,21.19,2020-09
641,28.3,76.8,21.32,2020-09
642,28.3,76.9,21.66,2020-09
643,28.3,77.0,22.07,2020-09
644,28.3,77.1,22.4,2020-09
645,28.3,77.2,22.64,2020-09
646,28.3,77.3,22.86,2020-09
647,28.3,77.5,23.03,2020-09
648,29.0,76.7,12.92,2020-10
649,29.0,76.8,13.46,2020-10
650,29.0,76.8,13.89,2020-10
651,29.0,76.9,14.16,2020-10
652,29.0,77.0,14.46,2020-10
653,29.0,77.1,14.72,2020-10
654,29.0,77.2,14.85,2020-10
655,29.0,77.3,14.99,2020-10
656,29.0,77.5,15.08,2020-10
657,28.9,76.7,12.41,2020-10
658,28.9,76.8,13.05,2020-10
659,28.9,76.8,13.48,2020-10
660,28.9,76.9,13.79,2020-10
661,28.9,77.0,14.2,2020-10
662,28.9,77.1,14.54,2020-10
663,28.9,77.2,14.73,2020-10
664,28.9,77.3,14.89,2020-10
665,28.9,77.5,14.98,2020-10
666,28.8,76.7,11.9,2020-10
667,28.8,76.8,12.6,2020-10
668,28.8,76.8,13.09,2020-10
669,28.8,76.9,13.5,2020-10
670,28.8,77.0,13.89,2020-10
671,28.8,77.1,14.22,2020-10
672,28.8,77.2,14.47,2020-10
673,28.8,77.3,14.69,2020-10
674,28.8,77.5,14.87,2020-10
675,28.7,76.7,11.77,2020-10
676,28.7,76.8,12.19,2020-10
677,28.7,76.8,12.56,2020-10
678,28.7,76.9,13.02,2020-10
679,28.7,77.0,13.45,2020-10
680,28.7,77.1,13.77,2020-10
681,28.7,77.2,14.01,2020-10
682,28.7,77.3,14.38,2020-10
683,28.7,77.5,14.78,2020-10
684,28.5,76.7,11.41,2020-10
685,28.5,76.8,11.63,2020-10
686,28.5,76.8,11.95,2020-10
687,28.5,76.9,12.45,2020-10
688,28.5,77.0,12.8,2020-10
689,28.5,77.1,13.11,2020-10
690,28.5,77.2,13.6,2020-10
691,28.5,77.3,14.19,2020-10
692,28.5,77.5,14.66,2020-10
693,28.4,76.7,10.77,2020-10
694,28.4,76.8,11.05,2020-10
695,28.4,76.8,11.35,2020-10
696,28.4,76.9,11.78,2020-10
697,28.4,77.0,12.07,2020-10
698,28.4,77.1,12.43,2020-10
699,28.4,77.2,13.2,2020-10
700,28.4,77.3,13.93,2020-10
701,28.4,77.5,14.42,2020-10
702,28.3,76.7,10.45,2020-10
703,28.3,76.8,10.62,2020-10
704,28.3,76.8,10.88,2020-10
705,28.3,76.9,11.28,2020-10
706,28.3,77.0,11.63,2020-10
707,28.3,77.1,11.98,2020-10
708,28.3,77.2,12.62,2020-10
709,28.3,77.3,13.32,2020-10
710,28.3,77.5,13.84,2020-10
711,28.3,76.7,10.31,2020-10
712,28.3,76.8,10.19,2020-10
713,28.3,76.8,10.33,2020-10
714,28.3,76.9,10.72,2020-10
715,28.3,77.0,11.15,2020-10
716,28.3,77.1,11.61,2020-10
717,28.3,77.2,12.13,2020-10
718,28.3,77.3,12.68,2020-10
719,28.3,77.5,13.16,2020-10
720,29.0,76.7,9.8,2020-11
721,29.0,76.8,9.92,2020-11
722,29.0,76.8,10.03,2020-11
723,29.0,76.9,10.22,2020-11
724,29.0,77.0,10.41,2020-11
725,29.0,77.1,10.47,2020-11
726,29.0,77.2,10.51,2020-11
727,29.0,77.3,10.6,2020-11
728,29.0,77.5,10.67,2020-11
729,28.9,76.7,9.73,2020-11
730,28.9,76.8,9.88,2020-11
731,28.9,76.8,9.99,2020-11
732,28.9,76.9,10.16,2020-11
733,28.9,77.0,10.31,2020-11
