Unnamed: 0,latitude,longitude,tp_mm,month,dataValue,wellDepth,tmean_C,d2m_C,evap_mm,soil_type
223,28.5,77.2,0.0,2022-01,25.49,104.0,12.772998,9.24,-0.9811848,2.0
224,28.5,77.2,0.0,2022-01,2.9,12.0,12.772998,9.24,-0.9811848,2.0
239,28.8,77.2,0.0,2022-05,8.41,200.0,31.749407,18.52,-1.154292,2.0
240,28.8,77.2,0.0,2022-05,7.05,65.0,31.749407,18.52,-1.154292,2.0
241,28.8,77.2,0.0,2022-05,8.08,85.0,31.749407,18.52,-1.154292,2.0
242,28.8,77.2,0.0,2022-05,9.75,101.0,31.749407,18.52,-1.154292,2.0
243,28.5,76.9,0.0,2022-05,1.68,28.0,33.15442,16.33,-0.7222129,3.0
244,28.5,76.9,0.0,2022-05,7.43,100.0,33.15442,16.33,-0.7222129,3.0
245,28.5,76.9,0.0,2022-05,7.28,40.0,33.15442,16.33,-0.7222129,3.0
246,28.5,76.9,0.0,2022-05,1.27,15.0,33.15442,16.33,-0.7222129,3.0
247,28.5,76.9,0.0,2022-05,10.8,100.0,33.15442,16.33,-0.7222129,3.0
256,28.5,77.2,0.0,2022-05,49.48,150.0,32.386158,17.65,-1.0977743,2.0
257,28.5,77.2,0.0,2022-05,39.53,94.5,32.386158,17.65,-1.0977743,2.0
258,28.5,77.2,0.0,2022-05,24.7,104.0,32.386158,17.65,-1.0977743,2.0
259,28.5,77.2,0.0,2022-05,3.7,12.0,32.386158,17.65,-1.0977743,2.0
276,28.8,77.2,0.0,2022-08,9.05,200.0,28.64815,24.51,-2.641045,2.0
277,28.8,77.2,0.0,2022-08,7.32,65.0,28.64815,24.51,-2.641045,2.0
278,28.8,77.2,0.0,2022-08,8.18,85.0,28.64815,24.51,-2.641045,2.0
279,28.8,77.2,0.0,2022-08,10.46,101.0,28.64815,24.51,-2.641045,2.0
280,28.5,76.9,0.0,2022-08,0.79,28.0,28.925064,24.18,-2.4788697,3.0
281,28.5,76.9,0.0,2022-08,7.36,100.0,28.925064,24.18,-2.4788697,3.0
282,28.5,76.9,0.0,2022-08,7.22,40.0,28.925064,24.18,-2.4788697,3.0
283,28.5,76.9,0.0,2022-08,0.97,15.0,28.925064,24.18,-2.4788697,3.0
284,28.5,76.9,0.0,2022-08,10.69,100.0,28.925064,24.18,-2.4788697,3.0
294,28.5,77.2,0.0,2022-08,48.59,150.0,28.739376,24.3,-2.644237,2.0
295,28.5,77.2,0.0,2022-08,24.5,104.0,28.739376,24.3,-2.644237,2.0
296,28.5,77.2,0.0,2022-08,2.48,12.0,28.739376,24.3,-2.644237,2.0
311,28.8,77.2,0.0,2022-11,8.62,200.0,19.708948,12.79,-1.3832995,2.0
312,28.8,77.2,0.0,2022-11,6.47,65.0,19.708948,12.79,-1.3832995,2.0
313,28.8,77.2,0.0,2022-11,8.62,85.0,19.708948,12.79,-1.3832995,2.0
314,28.8,77.2,0.0,2022-11,9.2,101.0,19.708948,12.79,-1.3832995,2.0
315,28.5,76.9,0.0,2022-11,0.84,28.0,20.247078,12.2,-1.2851639,3.0
316,28.5,76.9,0.0,2022-11,6.33,100.0,20.247078,12.2,-1.2851639,3.0
317,28.5,76.9,0.0,2022-11,6.12,40.0,20.247078,12.2,-1.2851639,3.0
318,28.5,76.9,0.0,2022-11,2.58,15.0,20.247078,12.2,-1.2851639,3.0
319,28.5,76.9,0.0,2022-11,10.62,100.0,20.247078,12.2,-1.2851639,3.0
331,28.5,77.2,0.0,2022-11,44.7,150.0,19.966936,12.59,-1.4497555,2.0
332,28.5,77.2,0.0,2022-11,39.04,94.5,19.966936,12.59,-1.4497555,2.0
333,28.5,77.2,0.0,2022-11,23.95,104.0,19.966936,12.59,-1.4497555,2.0
342,28.5,76.9,0.0,2022-12,-10.74,,15.112218,8.3,-0.64973414,3.0
347,28.5,76.9,0.0,2023-01,-10.72,,12.583719,7.85,-0.61189055,3.0
352,28.5,76.9,0.0,2023-02,-10.69,,18.8678,9.56,-1.0434434,3.0
357,28.5,76.9,0.0,2023-03,-10.69,,22.40761,13.63,-1.2270684,3.0
363,28.8,77.2,0.0,2023-04,-9.77,,26.384958,10.86,-1.4976544,2.0
364,28.5,76.9,0.0,2023-04,-10.64,,26.981106,10.27,-1.4012451,3.0
368,28.5,77.2,0.0,2023-04,-23.33,,26.766642,10.44,-1.5800934,2.0
370,28.8,76.9,0.0,2023-05,-4.61,,29.26264,14.87,-1.4759252,2.0
377,28.8,77.2,0.0,2023-05,-9.9,,28.95148,15.34,-1.8125536,2.0
378,28.5,76.9,0.0,2023-05,-10.63,,29.610682,14.64,-1.7004622,3.0
382,28.5,77.2,0.0,2023-05,-38.37,,29.30108,14.98,-1.9753687,2.0
383,28.5,77.2,0.0,2023-05,-23.29,,29.30108,14.98,-1.9753687,2.0
387,28.8,76.9,0.0,2023-06,-4.6,,31.443874,20.65,-1.1757472,2.0
394,28.8,77.2,0.0,2023-06,-10.47,,31.13751,20.89,-1.3446519,2.0
395,28.5,76.9,0.0,2023-06,-10.61,,31.602312,20.6,-1.3165786,3.0
399,28.5,77.2,0.0,2023-06,-38.16,,31.349892,20.65,-1.4484727,2.0
400,28.5,77.2,0.0,2023-06,-23.03,,31.349892,20.65,-1.4484727,2.0
404,28.8,76.9,0.0,2023-07,-3.74,,29.240505,25.56,-2.1861901,2.0
411,28.8,77.2,0.0,2023-07,-7.87,,28.936556,25.66,-2.3084884,2.0
412,28.5,76.9,0.0,2023-07,-10.41,,29.36237,25.6,-2.1307743,3.0
416,28.5,77.2,0.0,2023-07,-38.05,,29.002855,25.64,-2.3339772,2.0
