month,latitude,longitude,dataValue,wellDepth
2021-01,28.6,77.3,25.39,55.0
2021-08,28.6,77.3,24.48,55.0
2021-11,28.6,77.3,26.03,55.0
2022-01,28.6,77.3,25.77,55.0
2022-05,28.6,77.3,25.87,55.0
2022-08,28.6,77.3,26.08,55.0
2022-11,28.6,77.3,26.24,55.0
2023-05,28.6,77.3,25.82,
2023-06,28.6,77.3,25.83,
2023-07,28.6,77.3,25.83,
2023-08,28.6,77.3,25.81,
2023-09,28.6,77.3,20.05,45.0
2023-10,28.6,77.3,19.95,45.0
2023-11,28.6,77.3,23.99,45.0
2023-12,28.6,77.3,34.72,45.0
2020-01,28.6,77.0,10.83,100.0
2020-08,28.6,77.0,11.0,100.0
2020-11,28.6,77.0,10.85,100.0
2021-01,28.6,77.0,10.56,100.0
2021-08,28.6,77.0,8.99,100.0
2021-11,28.6,77.0,7.35,100.0
2022-01,28.6,77.0,6.86,100.0
2022-05,28.6,77.0,6.99,100.0
2022-08,28.6,77.0,6.61,100.0
2022-11,28.6,77.0,6.38,100.0
2023-09,28.6,77.0,8.7,10.05
2023-10,28.6,77.0,6.44,10.05
2023-11,28.6,77.0,6.41,10.05
2020-08,28.6,77.1,25.66,50.0
2020-11,28.6,77.1,25.74,50.0
2021-01,28.6,77.1,24.51,50.0
2020-01,28.6,77.0,12.35,80.0
2020-08,28.6,77.0,11.53,80.0
2020-11,28.6,77.0,12.47,80.0
2021-01,28.6,77.0,10.87,80.0
2021-08,28.6,77.0,9.58,80.0
2022-01,28.6,77.0,7.11,80.0
2022-05,28.6,77.0,8.79,80.0
2022-08,28.6,77.0,7.72,80.0
2022-11,28.6,77.0,7.67,80.0
2022-11,28.6,77.0,-7.83,
2022-12,28.6,77.0,-7.87,
2023-01,28.6,77.0,-7.84,
2023-02,28.6,77.0,-7.88,
2023-03,28.6,77.0,-8.05,
2023-04,28.6,77.0,-8.0,
2023-05,28.6,77.0,-8.24,
2023-06,28.6,77.0,-8.38,
2023-07,28.6,77.0,-7.94,
2023-08,28.6,77.0,-7.64,
2023-09,28.6,77.0,-7.61,
2023-10,28.6,77.0,-7.77,
2023-11,28.6,77.0,-7.86,
2023-12,28.6,77.0,-7.8,
2020-01,28.6,76.9,14.16,100.0
2020-01,28.6,77.1,30.33,80.0
2020-08,28.6,77.1,31.46,80.0
2020-11,28.6,77.1,33.18,80.0
2021-01,28.6,77.1,31.85,80.0
2021-11,28.6,77.1,31.94,80.0
2022-01,28.6,77.1,31.46,80.0
2022-08,28.6,77.1,30.86,80.0
2023-09,28.6,77.1,29.3,48.0
2023-10,28.6,77.1,29.51,48.0
2023-11,28.6,77.1,28.91,48.0
2023-12,28.6,77.1,28.51,48.0
2020-01,28.6,77.2,3.88,75.2
2020-05,28.6,77.2,3.9,75.2
2020-08,28.6,77.2,3.39,75.2
2020-11,28.6,77.2,5.35,75.2
2021-01,28.6,77.2,4.15,75.2
2021-05,28.6,77.2,4.69,75.2
2021-08,28.6,77.2,3.2,75.2
2021-11,28.6,77.2,2.77,75.2
2022-01,28.6,77.2,3.0,75.2
2022-05,28.6,77.2,3.75,75.2
2022-08,28.6,77.2,3.6,75.2
2022-11,28.6,77.2,3.08,75.2
2023-05,28.6,77.2,-750.71,
2023-06,28.6,77.2,-691.1,
2023-07,28.6,77.2,-784.9,
2023-08,28.6,77.2,-891.92,
2023-09,28.6,77.2,-522.97,
2023-10,28.6,77.2,-663.63,
2023-11,28.6,77.2,-2.99,
2023-12,28.6,77.2,-3.25,
2020-01,28.6,77.2,7.7,88.0
2020-05,28.6,77.2,7.51,88.0
2020-08,28.6,77.2,7.24,88.0
2020-11,28.6,77.2,8.39,88.0
2021-01,28.6,77.2,7.22,88.0
2021-05,28.6,77.2,7.93,88.0
2021-08,28.6,77.2,7.12,88.0
2021-11,28.6,77.2,6.22,88.0
2022-01,28.6,77.2,6.2,88.0
2022-05,28.6,77.2,6.33,88.0
2022-08,28.6,77.2,6.23,88.0
2022-11,28.6,77.2,6.27,88.0
2023-05,28.6,77.2,-6.49,
2023-06,28.6,77.2,-6.6,
2023-07,28.6,77.2,-6.49,
2023-08,28.6,77.2,-6.29,
2023-09,28.6,77.2,-6.35,
2023-10,28.6,77.2,-6.34,
2023-11,28.6,77.2,-6.38,
2023-12,28.6,77.2,-6.35,
2023-05,28.6,77.1,-14.57,
2023-06,28.6,77.1,-15.55,
2023-07,28.6,77.1,-15.16,
2023-08,28.6,77.1,-14.36,
2023-09,28.6,77.1,-14.25,
2023-10,28.6,77.1,-14.1,
2023-11,28.6,77.1,-13.91,
2023-12,28.6,77.1,-13.66,
2020-01,28.6,77.0,2.43,15.0
2020-08,28.6,77.0,0.92,15.0
2020-11,28.6,77.0,3.55,15.0
2021-01,28.6,77.0,3.32,15.0
2021-08,28.6,77.0,0.9,15.0
2021-11,28.6,77.0,0.71,15.0
2022-01,28.6,77.0,0.89,15.0
2022-05,28.6,77.0,2.57,15.0
2022-08,28.6,77.0,3.5,15.0
2022-11,28.6,77.0,3.43,15.0
2023-09,28.6,77.0,10.56,30.0
2023-10,28.6,77.0,10.59,30.0
2023-11,28.6,77.0,10.47,30.0
2023-12,28.6,77.0,9.95,30.0
2022-05,28.6,77.0,8.97,30.0
2022-08,28.6,77.0,8.68,30.0
2022-11,28.6,77.0,7.94,30.0
2020-01,28.6,77.2,7.56,25.0
2020-08,28.6,77.2,5.15,25.0
2021-01,28.6,77.2,5.69,25.0
2021-08,28.6,77.2,5.3,25.0
2021-11,28.6,77.2,5.77,25.0
2022-01,28.6,77.2,6.3,25.0
2022-05,28.6,77.2,6.48,25.0
2022-08,28.6,77.2,5.82,25.0
2022-11,28.6,77.2,5.72,25.0
2020-01,28.6,77.3,14.48,60.0
2020-08,28.6,77.3,13.81,60.0
2021-08,28.6,77.3,14.34,60.0
2021-11,28.6,77.3,12.9,60.0
2022-01,28.6,77.3,12.9,60.0
2022-05,28.6,77.3,14.55,60.0
