latitude,longitude,month,dataValue,wellDepth
28.5,76.9,2020-11,13.84,100.0
28.5,76.9,2021-01,13.68,100.0
28.5,76.9,2021-08,12.36,100.0
28.5,76.9,2021-11,11.31,100.0
28.5,76.9,2022-01,11.06,100.0
28.5,76.9,2022-05,10.8,100.0
28.5,76.9,2022-08,10.69,100.0
28.5,76.9,2022-11,10.62,100.0
28.5,76.9,2022-12,-10.74,52.77
28.5,76.9,2023-01,-10.72,30.79
28.5,76.9,2023-02,-10.69,31.61
28.5,76.9,2023-03,-10.69,32.72
28.5,76.9,2023-04,-10.64,33.64
28.5,76.9,2023-05,-10.63,34.65
28.5,76.9,2023-06,-10.61,35.56
28.5,76.9,2023-07,-10.41,36.57
28.5,76.9,2023-08,-10.22,37.55
28.5,76.9,2023-09,-10.03,38.59
28.5,76.9,2023-10,-9.94,39.37
28.5,76.9,2023-11,-9.92,40.39
28.5,76.9,2023-12,-9.93,41.4
28.5,77.2,2020-01,31.12,104.0
28.5,77.2,2020-08,30.04,104.0
28.5,77.2,2020-11,30.75,104.0
28.5,77.2,2021-01,28.89,104.0
28.5,77.2,2021-08,27.68,104.0
28.5,77.2,2021-11,26.72,104.0
28.5,77.2,2022-01,25.49,104.0
28.5,77.2,2022-05,24.7,104.0
28.5,77.2,2022-08,24.5,104.0
28.5,77.2,2022-11,23.95,104.0
28.5,77.0,2020-01,13.57,75.0
28.5,77.0,2020-08,12.37,75.0
28.5,77.0,2021-01,11.91,75.0
28.5,77.0,2022-01,8.35,75.0
28.5,77.0,2022-05,9.2,75.0
28.5,77.0,2022-08,7.37,75.0
28.5,77.0,2022-11,7.52,75.0
28.5,77.0,2022-12,-8.03,52.63
28.5,77.0,2023-01,-8.3,30.65
28.5,77.0,2023-02,-8.63,31.47
28.5,77.0,2023-03,-8.93,32.57
28.5,77.0,2023-04,-9.11,33.49
28.5,77.0,2023-05,-9.36,34.5
28.5,77.0,2023-06,-9.4,35.41
28.5,77.0,2023-07,-8.79,36.43
28.5,77.0,2023-08,-8.34,37.4
28.5,77.0,2023-09,-8.43,38.31
28.5,77.0,2023-10,-8.75,39.34
28.5,77.0,2023-11,-8.8,40.23
28.5,77.0,2023-12,-8.57,41.25
28.5,77.2,2023-04,-23.33,33.03
28.5,77.2,2023-05,-23.29,32.69
28.5,77.2,2023-06,-23.03,33.6
28.5,77.2,2023-07,-22.93,34.61
28.5,77.2,2023-08,-22.68,35.58
28.5,77.2,2023-09,-22.39,36.61
28.5,77.2,2023-10,-22.11,37.36
28.5,77.2,2023-11,-21.7,38.43
28.5,77.2,2023-12,-21.52,39.44
28.5,77.0,2022-11,-13.89,53.72
28.5,77.0,2022-12,-14.28,53.6
28.5,77.0,2023-01,-14.86,31.69
28.5,77.0,2023-02,-15.12,32.5
28.5,77.0,2023-03,-15.84,33.61
28.5,77.0,2023-04,-17.26,34.51
28.5,77.0,2023-05,-18.15,35.52
28.5,77.0,2023-06,-19.04,36.43
28.5,77.0,2023-07,-18.94,37.44
28.5,77.0,2023-08,-18.01,38.41
28.5,77.0,2023-09,-18.14,39.46
28.5,77.0,2023-10,-18.8,40.22
28.5,77.0,2023-11,-19.28,41.26
28.5,77.0,2023-12,-19.59,42.26
28.5,77.0,2020-11,18.4,105.0
28.5,77.0,2021-01,17.43,105.0
28.5,77.0,2021-11,13.3,105.0
28.5,77.0,2022-01,14.21,105.0
28.5,77.0,2022-05,15.3,105.0
28.5,77.0,2022-08,14.39,105.0
28.5,77.0,2022-11,13.14,105.0
28.5,76.9,2020-01,14.05,59.0
28.5,76.9,2020-08,14.2,59.0
28.5,76.9,2023-09,11.84,58.0
28.5,76.9,2023-10,9.27,58.0
28.5,76.9,2023-11,9.49,58.0
28.5,76.9,2023-12,9.56,58.0
28.5,77.1,2020-01,46.42,65.0
28.5,77.1,2020-08,47.48,65.0
28.5,77.1,2020-11,48.0,65.0
28.5,77.1,2021-01,47.6,65.0
28.5,77.1,2021-08,44.86,65.0
28.5,77.1,2021-11,43.76,65.0
28.5,77.1,2022-01,43.79,65.0
28.5,77.1,2022-08,51.03,65.0
28.5,77.1,2022-11,43.04,65.0
28.5,77.1,2021-01,15.68,100.0
28.5,77.1,2021-08,9.18,100.0
28.5,77.1,2022-01,13.43,100.0
28.5,77.1,2022-05,14.0,100.0
28.5,77.1,2022-08,14.61,100.0
28.5,77.1,2022-11,14.26,100.0
28.5,77.0,2022-11,-15.56,55.08
28.5,77.0,2022-12,-15.37,54.96
28.5,77.0,2023-01,-15.14,33.06
28.5,77.0,2023-02,-14.94,33.88
28.5,77.0,2023-03,-14.78,34.99
28.5,77.0,2023-04,-14.64,35.91
28.5,77.0,2023-05,-14.53,36.92
28.5,77.0,2023-06,-14.41,37.83
28.5,77.0,2023-07,-14.19,38.85
28.5,77.0,2023-08,-13.92,39.8
28.5,77.0,2023-09,-13.72,40.88
28.5,77.0,2023-10,-13.61,41.62
28.5,77.0,2023-11,-13.49,42.64
28.5,77.0,2023-12,-13.38,43.67
28.5,77.0,2020-01,21.67,125.0
28.5,77.0,2020-08,21.33,125.0
28.5,77.0,2020-11,22.08,125.0
28.5,77.0,2021-01,20.97,125.0
28.5,77.0,2021-08,20.34,125.0
28.5,77.0,2021-11,19.39,125.0
28.5,77.0,2022-01,18.73,125.0
28.5,77.0,2022-05,17.86,125.0
28.5,77.0,2022-08,16.85,125.0
28.5,77.0,2022-11,14.15,125.0
28.5,77.3,2023-05,-9.78,35.63
28.5,77.3,2023-06,-9.85,35.77
28.5,77.3,2023-07,-9.27,36.79
28.5,77.3,2023-08,-8.46,37.75
28.5,77.3,2023-09,-8.45,38.8
28.5,77.3,2023-10,-8.61,39.53
28.5,77.3,2023-11,-8.85,40.59
28.5,77.3,2023-12,-8.91,41.61
28.5,77.3,2020-01,10.72,45.0
28.5,77.3,2020-08,10.16,45.0
28.5,77.3,2020-11,11.0,45.0
28.5,77.3,2021-01,10.45,45.0
28.5,77.3,2021-08,10.79,45.0
28.5,77.3,2021-11,10.51,45.0
28.5,77.3,2022-01,10.25,45.0
28.5,77.3,2022-05,10.3,45.0
28.5,77.3,2022-08,10.27,45.0
28.5,77.3,2022-11,9.64,45.0
28.5,77.1,2020-01,31.8,43.0
28.5,77.1,2020-08,31.88,43.0
28.5,77.1,2020-11,32.9,43.0
28.5,77.1,2021-01,31.91,43.0
28.5,77.1,2021-08,33.05,43.0
28.5,77.1,2021-11,32.54,43.0
28.5,77.1,2022-01,32.06,43.0
28.5,77.1,2022-05,31.79,43.0
28.5,77.1,2022-08,32.37,43.0
28.5,77.1,2022-11,31.68,43.0
28.5,77.2,2020-01,3.41,12.0
28.5,77.2,2020-08,2.96,12.0
28.5,77.2,2020-11,4.24,12.0
28.5,77.2,2021-01,3.92,12.0
28.5,77.2,2021-08,2.63,12.0
28.5,77.2,2022-01,2.9,12.0
28.5,77.2,2022-05,3.7,12.0
28.5,77.2,2022-08,2.48,12.0
28.5,77.0,2022-11,-14.53,55.79
28.5,77.0,2022-12,-14.48,55.68
28.5,77.0,2023-01,-14.33,33.77
28.5,77.0,2023-02,-14.18,34.59
28.5,77.0,2023-03,-14.09,35.7
28.5,77.0,2023-04,-14.01,36.61
28.5,77.0,2023-05,-14.14,37.63
28.5,77.0,2023-06,-14.15,38.54
28.5,77.0,2023-07,-13.87,39.56
28.5,77.0,2023-08,-13.64,40.52
28.5,77.0,2023-09,-13.55,41.54
28.5,77.0,2023-10,-13.63,42.31
28.5,77.0,2023-11,-13.5,43.36
28.5,77.0,2023-12,-13.31,44.38
28.5,77.2,2020-01,6.36,20.0
28.5,77.2,2020-08,5.68,20.0
28.5,77.2,2020-11,10.48,20.0
28.5,77.2,2021-01,5.31,20.0
28.5,77.2,2021-08,4.78,20.0
28.5,77.2,2021-11,4.88,20.0
28.5,77.2,2022-01,3.85,20.0
