,latitude,longitude,tp_mm,month,dataValue,wellDepth,tmean_C
172,28.8,77.0,0.0,2021-11,1.3,8.6,18.924595
173,28.8,77.0,0.0,2021-11,2.13,50.0,18.924595
174,28.8,77.0,0.0,2021-11,19.78,47.0,18.924595
175,28.8,77.1,0.0,2021-11,8.3,80.0,18.800451
176,28.8,77.2,0.0,2021-11,7.2,85.0,18.71657
177,28.8,77.2,0.0,2021-11,9.8,101.0,18.71657
178,28.5,76.9,0.0,2021-11,0.85,80.0,19.487726
179,28.5,76.9,0.0,2021-11,0.88,28.0,19.487726
180,28.5,76.9,0.0,2021-11,2.4,15.0,19.487726
181,28.5,76.9,0.0,2021-11,11.31,100.0,19.487726
182,28.5,77.0,0.0,2021-11,13.3,105.0,19.295254
183,28.5,77.0,0.0,2021-11,19.39,125.0,19.295254
184,28.5,77.1,0.0,2021-11,13.6,55.0,19.162169
185,28.5,77.1,0.0,2021-11,7.94,100.0,19.162169
186,28.5,77.1,0.0,2021-11,0.51,20.0,19.162169
187,28.5,77.1,0.0,2021-11,43.76,65.0,19.162169
188,28.5,77.1,0.0,2021-11,32.54,43.0,19.162169
189,28.5,77.2,0.0,2021-11,47.84,150.0,19.060375
190,28.5,77.2,0.0,2021-11,42.3,94.5,19.060375
191,28.5,77.2,0.0,2021-11,26.72,104.0,19.060375
192,28.5,77.3,0.0,2021-11,6.76,75.0,18.982353
193,28.5,77.3,0.0,2021-11,10.51,45.0,18.982353
194,28.4,77.1,0.0,2021-11,53.88,65.0,19.157732
195,28.4,77.1,0.0,2021-11,65.67,82.0,19.157732
196,28.4,77.2,0.0,2021-11,14.44,35.0,19.185427
197,28.4,77.2,0.0,2021-11,40.55,86.5,19.185427
198,28.8,77.0,0.0,2022-01,1.39,100.0,12.6836605
199,28.8,77.0,0.0,2022-01,2.03,8.6,12.6836605
200,28.8,77.0,0.0,2022-01,2.46,50.0,12.6836605
201,28.8,77.0,0.0,2022-01,24.75,47.0,12.6836605
202,28.8,77.1,0.0,2022-01,18.29,45.0,12.679148
203,28.8,77.2,0.0,2022-01,7.89,200.0,12.690835
204,28.8,77.2,0.0,2022-01,6.54,65.0,12.690835
205,28.8,77.2,0.0,2022-01,7.98,85.0,12.690835
206,28.8,77.2,0.0,2022-01,9.5,101.0,12.690835
207,28.5,76.9,0.0,2022-01,1.45,28.0,12.840097
208,28.5,76.9,0.0,2022-01,7.38,100.0,12.840097
209,28.5,76.9,0.0,2022-01,7.42,40.0,12.840097
210,28.5,76.9,0.0,2022-01,1.85,15.0,12.840097
211,28.5,76.9,0.0,2022-01,11.06,100.0,12.840097
212,28.5,77.0,0.0,2022-01,8.35,75.0,12.764224
213,28.5,77.0,0.0,2022-01,14.21,105.0,12.764224
214,28.5,77.0,0.0,2022-01,18.73,125.0,12.764224
215,28.5,77.1,0.0,2022-01,12.54,55.0,12.753055
216,28.5,77.1,0.0,2022-01,10.1,100.0,12.753055
217,28.5,77.1,0.0,2022-01,1.9,20.0,12.753055
