latitude,longitude,pressure_hPa,month
28.5,76.8,985.3935,2020-04
28.5,76.9,985.5656,2020-04
28.5,77.0,984.20557,2020-04
28.5,77.1,983.1401,2020-04
28.5,77.2,984.19965,2020-04
28.5,77.3,985.57623,2020-04
28.5,77.5,985.18774,2020-04
28.4,76.7,983.7181,2020-04
28.4,76.8,984.8211,2020-04
28.4,76.8,985.4671,2020-04
28.4,76.9,984.339,2020-04
28.4,77.0,981.87897,2020-04
28.4,77.1,981.106,2020-04
28.4,77.2,983.44904,2020-04
28.4,77.3,985.8549,2020-04
28.4,77.5,985.6819,2020-04
28.3,76.7,983.35767,2020-04
28.3,76.8,983.71356,2020-04
28.3,76.8,983.2239,2020-04
28.3,76.9,982.2044,2020-04
28.3,77.0,981.4583,2020-04
28.3,77.1,982.02814,2020-04
28.3,77.2,984.1396,2020-04
28.3,77.3,986.2178,2020-04
28.3,77.5,986.4883,2020-04
28.3,76.7,982.7992,2020-04
28.3,76.8,981.6975,2020-04
28.3,76.8,980.3575,2020-04
28.3,76.9,981.1713,2020-04
28.3,77.0,983.3544,2020-04
28.3,77.1,984.7914,2020-04
28.3,77.2,985.48334,2020-04
28.3,77.3,986.05634,2020-04
28.3,77.5,986.17285,2020-04
29.0,76.7,978.62427,2020-05
29.0,76.8,978.89594,2020-05
29.0,76.8,978.9571,2020-05
29.0,76.9,979.56744,2020-05
29.0,77.0,980.41364,2020-05
29.0,77.1,979.5815,2020-05
29.0,77.2,978.6094,2020-05
29.0,77.3,978.79706,2020-05
29.0,77.5,979.01227,2020-05
28.9,76.7,979.0705,2020-05
28.9,76.8,979.3879,2020-05
28.9,76.8,979.2382,2020-05
28.9,76.9,979.65155,2020-05
28.9,77.0,980.35535,2020-05
28.9,77.1,980.29706,2020-05
28.9,77.2,979.7545,2020-05
28.9,77.3,979.46765,2020-05
28.9,77.5,979.2268,2020-05
28.8,76.7,978.87775,2020-05
28.8,76.8,979.14606,2020-05
28.8,76.8,979.2917,2020-05
28.8,76.9,979.6578,2020-05
28.8,77.0,980.0969,2020-05
28.8,77.1,980.05945,2020-05
28.8,77.2,979.79236,2020-05
28.8,77.3,979.61053,2020-05
28.8,77.5,979.46735,2020-05
28.6,76.7,978.4661,2020-05
28.6,76.8,978.5934,2020-05
28.6,76.8,979.4823,2020-05
28.6,76.9,980.3572,2020-05
28.6,77.0,980.3565,2020-05
28.6,77.1,979.8748,2020-05
28.6,77.2,979.89734,2020-05
28.6,77.3,980.185,2020-05
28.6,77.5,980.1324,2020-05
28.5,76.7,978.635,2020-05
28.5,76.8,979.26587,2020-05
28.5,76.8,980.4661,2020-05
28.5,76.9,980.6567,2020-05
28.5,77.0,979.34283,2020-05
28.5,77.1,978.3183,2020-05
28.5,77.2,979.3804,2020-05
28.5,77.3,980.752,2020-05
28.5,77.5,980.38727,2020-05
28.4,76.7,978.786,2020-05
28.4,76.8,979.8848,2020-05
28.4,76.8,980.538,2020-05
28.4,76.9,979.45105,2020-05
28.4,77.0,977.0565,2020-05
28.4,77.1,976.3172,2020-05
28.4,77.2,978.6359,2020-05
28.4,77.3,981.01605,2020-05
28.4,77.5,980.86414,2020-05
28.3,76.7,978.4274,2020-05
28.3,76.8,978.79193,2020-05
28.3,76.8,978.3295,2020-05
28.3,76.9,977.34894,2020-05
28.3,77.0,976.63855,2020-05
28.3,77.1,977.21765,2020-05
28.3,77.2,979.3073,2020-05
28.3,77.3,981.3641,2020-05
28.3,77.5,981.6475,2020-05
28.3,76.7,977.87573,2020-05
28.3,76.8,976.8074,2020-05
28.3,76.8,975.51074,2020-05
28.3,76.9,976.32947,2020-05
28.3,77.0,978.494,2020-05
28.3,77.1,979.9236,2020-05
28.3,77.2,980.6197,2020-05
28.3,77.3,981.19806,2020-05
28.3,77.5,981.32947,2020-05
29.0,76.7,974.7216,2020-06
29.0,76.8,975.0033,2020-06
29.0,76.8,975.0751,2020-06
29.0,76.9,975.6903,2020-06
29.0,77.0,976.53784,2020-06
29.0,77.1,975.722,2020-06
29.0,77.2,974.7749,2020-06
29.0,77.3,974.9731,2020-06
29.0,77.5,975.1974,2020-06
28.9,76.7,975.16693,2020-06
28.9,76.8,975.48773,2020-06
28.9,76.8,975.3518,2020-06
28.9,76.9,975.77057,2020-06
28.9,77.0,976.47437,2020-06
28.9,77.1,976.42725,2020-06
28.9,77.2,975.902,2020-06
28.9,77.3,975.6312,2020-06
28.9,77.5,975.4057,2020-06
28.8,76.7,974.98456,2020-06
28.8,76.8,975.2533,2020-06
28.8,76.8,975.4048,2020-06
28.8,76.9,975.7744,2020-06
28.8,77.0,976.21606,2020-06
28.8,77.1,976.18744,2020-06
28.8,77.2,975.9363,2020-06
28.8,77.3,975.769,2020-06
28.8,77.5,975.6421,2020-06
28.6,76.7,974.5841,2020-06
28.6,76.8,974.7144,2020-06
28.6,76.8,975.6001,2020-06
28.6,76.9,976.47144,2020-06
28.6,77.0,976.4796,2020-06
28.6,77.1,976.01215,2020-06
28.6,77.2,976.0474,2020-06
28.6,77.3,976.3437,2020-06
28.6,77.5,976.3028,2020-06
28.5,76.7,974.7599,2020-06
28.5,76.8,975.3898,2020-06
28.5,76.8,976.5815,2020-06
28.5,76.9,976.7749,2020-06
28.5,77.0,975.4834,2020-06
28.5,77.1,974.48065,2020-06
28.5,77.2,975.54126,2020-06
28.5,77.3,976.90845,2020-06
28.5,77.5,976.559,2020-06
28.4,76.7,974.9174,2020-06
28.4,76.8,976.01013,2020-06
28.4,76.8,976.6587,2020-06
28.4,76.9,975.59094,2020-06
28.4,77.0,973.2321,2020-06
28.4,77.1,972.5098,2020-06
28.4,77.2,974.8118,2020-06
28.4,77.3,977.17596,2020-06
28.4,77.5,977.0374,2020-06
28.3,76.7,974.56683,2020-06
28.3,76.8,974.9314,2020-06
28.3,76.8,974.4799,2020-06
28.3,76.9,973.5183,2020-06
28.3,77.0,972.8209,2020-06
28.3,77.1,973.40393,2020-06
28.3,77.2,975.4811,2020-06
28.3,77.3,977.5267,2020-06
28.3,77.5,977.81903,2020-06
28.3,76.7,974.028,2020-06
28.3,76.8,972.97424,2020-06
28.3,76.8,971.69556,2020-06
28.3,76.9,972.5127,2020-06
28.3,77.0,974.66077,2020-06
28.3,77.1,976.0845,2020-06
28.3,77.2,976.7843,2020-06
28.3,77.3,977.3682,2020-06
28.3,77.5,977.5125,2020-06
29.0,76.7,974.2158,2020-07
29.0,76.8,974.509,2020-07
29.0,76.8,974.591,2020-07
29.0,76.9,975.21344,2020-07
29.0,77.0,976.07074,2020-07
29.0,77.1,975.2578,2020-07
29.0,77.2,974.314,2020-07
29.0,77.3,974.5176,2020-07
29.0,77.5,974.74884,2020-07
28.9,76.7,974.67004,2020-07
28.9,76.8,974.9935,2020-07
28.9,76.8,974.866,2020-07
28.9,76.9,975.29266,2020-07
28.9,77.0,976.00104,2020-07
28.9,77.1,975.95715,2020-07
28.9,77.2,975.43677,2020-07
28.9,77.3,975.1703,2020-07
28.9,77.5,974.9494,2020-07
28.8,76.7,974.50006,2020-07
28.8,76.8,974.7656,2020-07
28.8,76.8,974.91876,2020-07
28.8,76.9,975.29126,2020-07
28.8,77.0,975.73816,2020-07
28.8,77.1,975.71265,2020-07
28.8,77.2,975.466,2020-07
28.8,77.3,975.30505,2020-07
28.8,77.5,975.18195,2020-07
28.6,76.7,974.10767,2020-07
28.6,76.8,974.23615,2020-07
28.6,76.8,975.1255,2020-07
28.6,76.9,976.0007,2020-07
28.6,77.0,976.01056,2020-07
28.6,77.1,975.5468,2020-07
28.6,77.2,975.58594,2020-07
28.6,77.3,975.8889,2020-07
28.6,77.5,975.8514,2020-07
28.5,76.7,974.29596,2020-07
28.5,76.8,974.9275,2020-07
28.5,76.8,976.1233,2020-07
28.5,76.9,976.3197,2020-07
28.5,77.0,975.02655,2020-07
28.5,77.1,974.02277,2020-07
28.5,77.2,975.0918,2020-07
28.5,77.3,976.4649,2020-07
28.5,77.5,976.11755,2020-07
28.4,76.7,974.46466,2020-07
28.4,76.8,975.56055,2020-07
28.4,76.8,976.2141,2020-07
28.4,76.9,975.1434,2020-07
28.4,77.0,972.7786,2020-07
28.4,77.1,972.0562,2020-07
28.4,77.2,974.3667,2020-07
28.4,77.3,976.7402,2020-07
28.4,77.5,976.60406,2020-07
28.3,76.7,974.1182,2020-07
28.3,76.8,974.48303,2020-07
28.3,76.8,974.03186,2020-07
28.3,76.9,973.06854,2020-07
28.3,77.0,972.3719,2020-07
28.3,77.1,972.9578,2020-07
28.3,77.2,975.0435,2020-07
28.3,77.3,977.0977,2020-07
28.3,77.5,977.3934,2020-07
28.3,76.7,973.5864,2020-07
28.3,76.8,972.5259,2020-07
28.3,76.8,971.2427,2020-07
28.3,76.9,972.0647,2020-07
28.3,77.0,974.22205,2020-07
28.3,77.1,975.65265,2020-07
28.3,77.2,976.35675,2020-07
28.3,77.3,976.9447,2020-07
28.3,77.5,977.0915,2020-07
