latitude,longitude,number,d2m_C,month
28.699999999999996,77.5,0,18.68,2022-10
28.599999999999994,76.7,0,17.43,2022-10
28.599999999999994,76.8,0,17.63,2022-10
28.599999999999994,76.89999999999999,0,17.87,2022-10
28.599999999999994,76.99999999999999,0,18.08,2022-10
28.599999999999994,77.09999999999998,0,18.27,2022-10
28.599999999999994,77.19999999999997,0,18.37,2022-10
28.599999999999994,77.29999999999997,0,18.46,2022-10
28.599999999999994,77.39999999999996,0,18.59,2022-10
28.599999999999994,77.5,0,18.65,2022-10
28.499999999999993,76.7,0,17.3,2022-10
28.499999999999993,76.8,0,17.52,2022-10
28.499999999999993,76.89999999999999,0,17.73,2022-10
28.499999999999993,76.99999999999999,0,17.89,2022-10
28.499999999999993,77.09999999999998,0,18.02,2022-10
28.499999999999993,77.19999999999997,0,18.18,2022-10
28.499999999999993,77.29999999999997,0,18.37,2022-10
28.499999999999993,77.39999999999996,0,18.57,2022-10
28.499999999999993,77.5,0,18.64,2022-10
28.39999999999999,76.7,0,17.14,2022-10
28.39999999999999,76.8,0,17.34,2022-10
28.39999999999999,76.89999999999999,0,17.51,2022-10
28.39999999999999,76.99999999999999,0,17.69,2022-10
28.39999999999999,77.09999999999998,0,17.87,2022-10
28.39999999999999,77.19999999999997,0,18.11,2022-10
28.39999999999999,77.29999999999997,0,18.34,2022-10
28.39999999999999,77.39999999999996,0,18.54,2022-10
28.39999999999999,77.5,0,18.63,2022-10
28.3,76.7,0,16.95,2022-10
28.3,76.8,0,17.11,2022-10
28.3,76.89999999999999,0,17.25,2022-10
28.3,76.99999999999999,0,17.53,2022-10
28.3,77.09999999999998,0,17.9,2022-10
28.3,77.19999999999997,0,18.17,2022-10
28.3,77.29999999999997,0,18.34,2022-10
28.3,77.39999999999996,0,18.48,2022-10
28.3,77.5,0,18.57,2022-10
29.0,76.7,0,12.03,2022-11
29.0,76.8,0,12.13,2022-11
29.0,76.89999999999999,0,12.23,2022-11
29.0,76.99999999999999,0,12.39,2022-11
29.0,77.09999999999998,0,12.56,2022-11
29.0,77.19999999999997,0,12.65,2022-11
29.0,77.29999999999997,0,12.67,2022-11
29.0,77.39999999999996,0,12.71,2022-11
29.0,77.5,0,12.75,2022-11
28.9,76.7,0,11.95,2022-11
28.9,76.8,0,12.14,2022-11
28.9,76.89999999999999,0,12.25,2022-11
28.9,76.99999999999999,0,12.4,2022-11
28.9,77.09999999999998,0,12.6,2022-11
28.9,77.19999999999997,0,12.73,2022-11
28.9,77.29999999999997,0,12.77,2022-11
28.9,77.39999999999996,0,12.79,2022-11
28.9,77.5,0,12.81,2022-11
28.799999999999997,76.7,0,11.77,2022-11
28.799999999999997,76.8,0,12.03,2022-11
28.799999999999997,76.89999999999999,0,12.23,2022-11
28.799999999999997,76.99999999999999,0,12.42,2022-11
28.799999999999997,77.09999999999998,0,12.61,2022-11
28.799999999999997,77.19999999999997,0,12.74,2022-11
28.799999999999997,77.29999999999997,0,12.79,2022-11
28.799999999999997,77.39999999999996,0,12.82,2022-11
28.799999999999997,77.5,0,12.84,2022-11
28.699999999999996,76.7,0,11.66,2022-11
28.699999999999996,76.8,0,11.87,2022-11
28.699999999999996,76.89999999999999,0,12.11,2022-11
28.699999999999996,76.99999999999999,0,12.35,2022-11
28.699999999999996,77.09999999999998,0,12.57,2022-11
28.699999999999996,77.19999999999997,0,12.71,2022-11
28.699999999999996,77.29999999999997,0,12.71,2022-11
28.699999999999996,77.39999999999996,0,12.76,2022-11
28.699999999999996,77.5,0,12.81,2022-11
28.599999999999994,76.7,0,11.54,2022-11
28.599999999999994,76.8,0,11.74,2022-11
28.599999999999994,76.89999999999999,0,11.97,2022-11
28.599999999999994,76.99999999999999,0,12.2,2022-11
28.599999999999994,77.09999999999998,0,12.38,2022-11
28.599999999999994,77.19999999999997,0,12.5,2022-11
28.599999999999994,77.29999999999997,0,12.59,2022-11
28.599999999999994,77.39999999999996,0,12.71,2022-11
28.599999999999994,77.5,0,12.75,2022-11
28.499999999999993,76.7,0,11.37,2022-11
28.499999999999993,76.8,0,11.59,2022-11
28.499999999999993,76.89999999999999,0,11.79,2022-11
28.499999999999993,76.99999999999999,0,11.97,2022-11
28.499999999999993,77.09999999999998,0,12.11,2022-11
28.499999999999993,77.19999999999997,0,12.28,2022-11
28.499999999999993,77.29999999999997,0,12.44,2022-11
28.499999999999993,77.39999999999996,0,12.64,2022-11
28.499999999999993,77.5,0,12.68,2022-11
28.39999999999999,76.7,0,11.21,2022-11
28.39999999999999,76.8,0,11.4,2022-11
28.39999999999999,76.89999999999999,0,11.56,2022-11
28.39999999999999,76.99999999999999,0,11.74,2022-11
28.39999999999999,77.09999999999998,0,11.93,2022-11
28.39999999999999,77.19999999999997,0,12.15,2022-11
28.39999999999999,77.29999999999997,0,12.33,2022-11
28.39999999999999,77.39999999999996,0,12.5,2022-11
28.39999999999999,77.5,0,12.58,2022-11
28.3,76.7,0,11.03,2022-11
28.3,76.8,0,11.15,2022-11
28.3,76.89999999999999,0,11.28,2022-11
28.3,76.99999999999999,0,11.55,2022-11
28.3,77.09999999999998,0,11.89,2022-11
28.3,77.19999999999997,0,12.14,2022-11
28.3,77.29999999999997,0,12.26,2022-11
28.3,77.39999999999996,0,12.35,2022-11
28.3,77.5,0,12.42,2022-11
29.0,76.7,0,8.31,2022-12
29.0,76.8,0,8.38,2022-12
29.0,76.89999999999999,0,8.46,2022-12
29.0,76.99999999999999,0,8.56,2022-12
29.0,77.09999999999998,0,8.67,2022-12
29.0,77.19999999999997,0,8.75,2022-12
29.0,77.29999999999997,0,8.74,2022-12
29.0,77.39999999999996,0,8.75,2022-12
29.0,77.5,0,8.76,2022-12
28.9,76.7,0,8.27,2022-12
28.9,76.8,0,8.39,2022-12
28.9,76.89999999999999,0,8.47,2022-12
28.9,76.99999999999999,0,8.56,2022-12
28.9,77.09999999999998,0,8.68,2022-12
28.9,77.19999999999997,0,8.76,2022-12
28.9,77.29999999999997,0,8.78,2022-12
28.9,77.39999999999996,0,8.78,2022-12
28.9,77.5,0,8.79,2022-12
28.799999999999997,76.7,0,8.18,2022-12
28.799999999999997,76.8,0,8.34,2022-12
28.799999999999997,76.89999999999999,0,8.45,2022-12
28.799999999999997,76.99999999999999,0,8.56,2022-12
28.799999999999997,77.09999999999998,0,8.67,2022-12
28.799999999999997,77.19999999999997,0,8.74,2022-12
28.799999999999997,77.29999999999997,0,8.76,2022-12
28.799999999999997,77.39999999999996,0,8.77,2022-12
28.799999999999997,77.5,0,8.79,2022-12
28.699999999999996,76.7,0,8.05,2022-12
28.699999999999996,76.8,0,8.18,2022-12
28.699999999999996,76.89999999999999,0,8.32,2022-12
28.699999999999996,76.99999999999999,0,8.45,2022-12
28.699999999999996,77.09999999999998,0,8.57,2022-12
28.699999999999996,77.19999999999997,0,8.64,2022-12
28.699999999999996,77.29999999999997,0,8.64,2022-12
28.699999999999996,77.39999999999996,0,8.69,2022-12
28.699999999999996,77.5,0,8.75,2022-12
28.599999999999994,76.7,0,7.92,2022-12
28.599999999999994,76.8,0,8.04,2022-12
28.599999999999994,76.89999999999999,0,8.17,2022-12
28.599999999999994,76.99999999999999,0,8.3,2022-12
28.599999999999994,77.09999999999998,0,8.39,2022-12
28.599999999999994,77.19999999999997,0,8.46,2022-12
28.599999999999994,77.29999999999997,0,8.53,2022-12
28.599999999999994,77.39999999999996,0,8.64,2022-12
28.599999999999994,77.5,0,8.71,2022-12
28.499999999999993,76.7,0,7.74,2022-12
28.499999999999993,76.8,0,7.88,2022-12
28.499999999999993,76.89999999999999,0,8.01,2022-12
28.499999999999993,76.99999999999999,0,8.1,2022-12
28.499999999999993,77.09999999999998,0,8.16,2022-12
28.499999999999993,77.19999999999997,0,8.27,2022-12
28.499999999999993,77.29999999999997,0,8.41,2022-12
28.499999999999993,77.39999999999996,0,8.58,2022-12
28.499999999999993,77.5,0,8.65,2022-12
28.39999999999999,76.7,0,7.62,2022-12
28.39999999999999,76.8,0,7.72,2022-12
28.39999999999999,76.89999999999999,0,7.81,2022-12
28.39999999999999,76.99999999999999,0,7.9,2022-12
28.39999999999999,77.09999999999998,0,8.01,2022-12
28.39999999999999,77.19999999999997,0,8.15,2022-12
28.39999999999999,77.29999999999997,0,8.29,2022-12
28.39999999999999,77.39999999999996,0,8.43,2022-12
28.39999999999999,77.5,0,8.51,2022-12
28.3,76.7,0,7.52,2022-12
28.3,76.8,0,7.54,2022-12
28.3,76.89999999999999,0,7.6,2022-12
28.3,76.99999999999999,0,7.74,2022-12
28.3,77.09999999999998,0,7.93,2022-12
28.3,77.19999999999997,0,8.09,2022-12
28.3,77.29999999999997,0,8.19,2022-12
28.3,77.39999999999996,0,8.27,2022-12
28.3,77.5,0,8.34,2022-12
29.0,76.7,0,7.93,2023-01
29.0,76.8,0,8.06,2023-01
29.0,76.89999999999999,0,8.16,2023-01
29.0,76.99999999999999,0,8.25,2023-01
29.0,77.09999999999998,0,8.35,2023-01
29.0,77.19999999999997,0,8.43,2023-01
29.0,77.29999999999997,0,8.44,2023-01
29.0,77.39999999999996,0,8.47,2023-01
29.0,77.5,0,8.51,2023-01
28.9,76.7,0,7.83,2023-01
28.9,76.8,0,7.97,2023-01
28.9,76.89999999999999,0,8.07,2023-01
28.9,76.99999999999999,0,8.17,2023-01
28.9,77.09999999999998,0,8.29,2023-01
28.9,77.19999999999997,0,8.37,2023-01
28.9,77.29999999999997,0,8.42,2023-01
28.9,77.39999999999996,0,8.44,2023-01
28.9,77.5,0,8.48,2023-01
28.799999999999997,76.7,0,7.71,2023-01
28.799999999999997,76.8,0,7.85,2023-01
28.799999999999997,76.89999999999999,0,7.97,2023-01
28.799999999999997,76.99999999999999,0,8.09,2023-01
